amostra,media_sensor01,media_sensor02,media_sensor03,media_sensor04
1,258.60284977519177,261.7963832319492,264.0405128278948,265.3024952006554
5,250.28927237146416,256.6505959793631,262.08128352942727,264.5247254091906
10,212.7984240527551,238.47641667598077,266.9853900930983,299.7267441445733
20,202.22504465171662,218.99742012304029,237.55021382044322,256.57434091692635
40,198.116,229.7101560501407,267.86574179144395,312.55773258738274
60,195.24948836019442,206.728,214.74268178748935,223.12147181691498
80,184.312,193.164,203.66960081681796,215.04132272659112
100,174.048,142.292,120.92401207977906,103.06436319453566
120,131.964,110.388,92.339657361,79.24220315203537
